acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,id
0.0275,0.411,224398,0.757,0.000947,1,0.0978,-8.796,1,0.14,173.734,4,0.652,6O3lAhTuMrbxKaRh3ttNR3
0.458,0.741,214000,0.73,5e-06,10,0.12,-4.496,1,0.343,119.934,4,0.468,5IltclP2JVOs8hH30EbDSl
0.969,0.532,199651,0.279,0.0727,9,0.0989,-9.904,1,0.0413,119.962,4,0.0921,1MrRazq9LcxeN34bxNbP22
0.85,0.359,290120,0.46,0.0,5,0.129,-4.919,1,0.0279,97.093,4,0.275,3KXipJBY2pVblgvPKWrt91
0.295,0.863,217731,0.59,0.0,0,0.102,-7.486,1,0.268,100.009,4,0.475,3eIJdmONfki926A2ITon1E
0.182,0.283,318294,0.525,1.45e-06,7,0.104,-7.058,0,0.0272,154.046,4,0.312,0mPM5oYCI5blLhHrZ6TaUI
0.0534,0.656,304808,0.74,4.34e-06,2,0.259,-6.365,0,0.029,148.004,4,0.533,65pdFeR4VprlQvNiypT385
0.0446,0.621,308802,0.861,0.000107,4,0.157,-6.484,0,0.0318,96.174,4,0.418,3zR8CgfnbNsBL1BvuSCl2J
0.0587,0.657,273767,0.827,0.000151,5,0.11,-6.671,1,0.0261,100.129,4,0.327,0p8kMP4yA2JpXMYcw5SSJD
0.0594,0.554,270124,0.904,0.0626,2,0.358,-5.497,1,0.0337,169.984,4,0.57,60Uk9oxZCX9C5ZLGr5meJu
0.0228,0.573,331480,0.61,1.89e-05,2,0.125,-6.423,0,0.0276,120.201,5,0.254,02XdILES63wG8FJpwbOmmZ
0.0334,0.62,343616,0.828,0.0,2,0.1,-4.899,1,0.0354,90.07,4,0.242,41IZAsdZliSrWFTz8vVL1O
0.141,0.564,340118,0.585,2.03e-05,2,0.134,-6.998,0,0.0383,106.364,4,0.0883,1hoxzjexjLDPyUjnrFf5IL
0.216,0.62,214668,0.447,6.19e-05,10,0.144,-8.609,1,0.104,92.072,4,0.324,2d9hKKKQmGxcknyMIgLVmQ
0.00824,0.562,288596,0.799,0.00859,0,0.275,-5.769,1,0.0285,93.505,4,0.466,7bedHaRqfAyhN30pghV74F
0.353,0.582,315984,0.518,0.0111,11,0.116,-9.912,1,0.0503,155.922,4,0.568,5X5XhvErlZwcy9Mj0O2aVV
0.143,0.929,216226,0.438,0.0,10,0.107,-7.097,0,0.183,134.023,4,0.365,1CVjssJh1AZExaEaDclQoz
1.77e-06,0.0962,548575,0.923,0.824,0,0.112,-4.576,1,0.058,181.957,4,0.0417,4HOErmoCPlxIKDoRPhEWUO
0.00379,0.248,158723,0.922,0.744,10,0.218,-5.568,0,0.066,148.911,4,0.547,0ivEY9bksY63HVem0hDSdq
0.000422,0.487,174653,0.968,0.0356,10,0.289,-2.711,1,0.0458,160.028,4,0.775,5kfVgceWGfMZHjD0adNsoY
0.00679,0.364,182291,0.937,0.000135,8,0.0403,-4.427,1,0.0898,157.991,4,0.509,3YcloPAR8p3hlHKL1t97H4
0.0676,0.678,172957,0.661,9.55e-05,3,0.22,-6.273,1,0.0307,118.986,4,0.508,6ZkhNyKn97n3ZQrdXM31bA
